"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","03 Jan 2013","-","-","-","2679.22"
"NIFTY CHEMICALS","02 Jan 2013","-","-","-","2655.57"
"NIFTY CHEMICALS","01 Jan 2013","-","-","-","2650.31"
"NIFTY CHEMICALS","31 Dec 2012","-","-","-","2614.42"
"NIFTY CHEMICALS","28 Dec 2012","-","-","-","2590.70"
"NIFTY CHEMICALS","27 Dec 2012","-","-","-","2566.18"
"NIFTY CHEMICALS","26 Dec 2012","-","-","-","2567.03"
"NIFTY CHEMICALS","24 Dec 2012","-","-","-","2564.67"
"NIFTY CHEMICALS","21 Dec 2012","-","-","-","2559.00"
"NIFTY CHEMICALS","20 Dec 2012","-","-","-","2600.50"
"NIFTY CHEMICALS","19 Dec 2012","-","-","-","2605.21"
"NIFTY CHEMICALS","18 Dec 2012","-","-","-","2584.09"
"NIFTY CHEMICALS","17 Dec 2012","-","-","-","2581.62"
"NIFTY CHEMICALS","14 Dec 2012","-","-","-","2569.85"
"NIFTY CHEMICALS","13 Dec 2012","-","-","-","2561.54"
"NIFTY CHEMICALS","12 Dec 2012","-","-","-","2588.17"
"NIFTY CHEMICALS","11 Dec 2012","-","-","-","2587.54"
"NIFTY CHEMICALS","10 Dec 2012","-","-","-","2610.30"
"NIFTY CHEMICALS","07 Dec 2012","-","-","-","2602.33"
"NIFTY CHEMICALS","06 Dec 2012","-","-","-","2606.05"
"NIFTY CHEMICALS","05 Dec 2012","-","-","-","2591.15"
"NIFTY CHEMICALS","04 Dec 2012","-","-","-","2608.52"
"NIFTY CHEMICALS","03 Dec 2012","-","-","-","2564.82"
"NIFTY CHEMICALS","30 Nov 2012","-","-","-","2534.33"
"NIFTY CHEMICALS","29 Nov 2012","-","-","-","2518.82"
"NIFTY CHEMICALS","27 Nov 2012","-","-","-","2457.21"
"NIFTY CHEMICALS","26 Nov 2012","-","-","-","2448.39"
"NIFTY CHEMICALS","23 Nov 2012","-","-","-","2444.69"
"NIFTY CHEMICALS","22 Nov 2012","-","-","-","2442.65"
"NIFTY CHEMICALS","21 Nov 2012","-","-","-","2437.36"
"NIFTY CHEMICALS","20 Nov 2012","-","-","-","2431.48"
"NIFTY CHEMICALS","19 Nov 2012","-","-","-","2432.96"
"NIFTY CHEMICALS","16 Nov 2012","-","-","-","2459.00"
"NIFTY CHEMICALS","15 Nov 2012","-","-","-","2476.30"
"NIFTY CHEMICALS","13 Nov 2012","-","-","-","2504.19"
"NIFTY CHEMICALS","12 Nov 2012","-","-","-","2490.88"
"NIFTY CHEMICALS","09 Nov 2012","-","-","-","2490.17"
"NIFTY CHEMICALS","08 Nov 2012","-","-","-","2494.12"
"NIFTY CHEMICALS","07 Nov 2012","-","-","-","2486.37"
"NIFTY CHEMICALS","06 Nov 2012","-","-","-","2448.41"
"NIFTY CHEMICALS","05 Nov 2012","-","-","-","2437.68"
"NIFTY CHEMICALS","02 Nov 2012","-","-","-","2441.61"
"NIFTY CHEMICALS","01 Nov 2012","-","-","-","2447.01"
"NIFTY CHEMICALS","31 Oct 2012","-","-","-","2438.28"
"NIFTY CHEMICALS","30 Oct 2012","-","-","-","2451.63"
"NIFTY CHEMICALS","29 Oct 2012","-","-","-","2479.66"
"NIFTY CHEMICALS","26 Oct 2012","-","-","-","2480.01"
"NIFTY CHEMICALS","25 Oct 2012","-","-","-","2495.19"
"NIFTY CHEMICALS","23 Oct 2012","-","-","-","2505.78"
"NIFTY CHEMICALS","22 Oct 2012","-","-","-","2517.57"
"NIFTY CHEMICALS","19 Oct 2012","-","-","-","2510.27"
"NIFTY CHEMICALS","18 Oct 2012","-","-","-","2501.76"
"NIFTY CHEMICALS","17 Oct 2012","-","-","-","2478.58"
"NIFTY CHEMICALS","16 Oct 2012","-","-","-","2474.49"
"NIFTY CHEMICALS","15 Oct 2012","-","-","-","2480.45"
"NIFTY CHEMICALS","12 Oct 2012","-","-","-","2473.02"
"NIFTY CHEMICALS","11 Oct 2012","-","-","-","2470.30"
"NIFTY CHEMICALS","10 Oct 2012","-","-","-","2429.45"
"NIFTY CHEMICALS","09 Oct 2012","-","-","-","2449.94"
"NIFTY CHEMICALS","08 Oct 2012","-","-","-","2463.40"
"NIFTY CHEMICALS","05 Oct 2012","-","-","-","2471.89"
"NIFTY CHEMICALS","04 Oct 2012","-","-","-","2502.03"
"NIFTY CHEMICALS","03 Oct 2012","-","-","-","2512.88"
"NIFTY CHEMICALS","01 Oct 2012","-","-","-","2490.63"
"NIFTY CHEMICALS","28 Sep 2012","-","-","-","2456.94"
"NIFTY CHEMICALS","27 Sep 2012","-","-","-","2430.50"
"NIFTY CHEMICALS","26 Sep 2012","-","-","-","2435.19"
"NIFTY CHEMICALS","25 Sep 2012","-","-","-","2436.23"
"NIFTY CHEMICALS","24 Sep 2012","-","-","-","2436.46"
"NIFTY CHEMICALS","21 Sep 2012","-","-","-","2445.10"
